Depth1,Depth2,Depth3,URL,페이지명_KO,페이지명_EN,설명,상태,우선순위,비고,기능
Depth1,Depth2,Depth3,URL,페이지명_KO,페이지명_EN,설명,상태,우선순위,비고,"페이지 콘텐츠 표시, 네비게이션"
홈,,,/,메인페이지,Home,과일다리 메인 홈페이지,완료,P0,fruit_commerce_fruitbridge.html,"제품 목록 출력, 기부 카운팅 표시, 마케팅 배너 캐러셀, 카테고리 네비게이션, 베스트상품 노출, 실시간 통계 업데이트, 소셜임팩트 배지, 검색 기능"
홈,,,/impact,소셜임팩트,Social Impact,나눔 활동 및 사회적 가치 소개,완료,P1,fruit_commerce_impact.html,"기부 통계 표시, 파트너 목록 출력, 임팩트 스토리 슬라이더, 진행률 표시, 소셜 공유 기능, 월별 목표 추적"
상품,,,/products,상품메인,Products Main,전체 상품 카테고리 메인,계획,P0,,"카테고리별 상품 그룹핑, 필터링 기능, 정렬 기능, 페이지네이션, 상품 카드 출력, 찜하기 기능, 빠른 장바구니 담기"
상품,전체보기,,/products/all,전체상품,All Products,모든 상품 리스트,계획,P0,,"전체 상품 목록 출력, 무한 스크롤, 필터링 (가격/당도/카테고리), 정렬 (인기순/가격순/최신순), 검색 필터링"
상품,카테고리,가족루틴,/products/family,가족루틴,Family Routine,가족 단위 정기 과일 세트,계획,P0,,"가족 카테고리 필터링, 상품 목록 출력, 가족 구성원별 추천, 묶음 상품 표시"
상품,카테고리,아이간식,/products/kids,아이간식,Kids Snack,어린이 맞춤 과일 간식,계획,P0,,"아이용 상품 필터링, 연령별 추천, 알러지 정보 표시, 영양 정보 강조"
상품,카테고리,안부전하기,/products/greeting,안부전하기,Greeting Gift,부모님 안부 선물 과일,계획,P1,,"선물용 상품 필터링, 메시지 카드 옵션, 포장 옵션 선택, 배송일 지정"
상품,카테고리,나눔과일,/products/donation,나눔과일,Donation Fruits,구매시 기부 연동 상품,계획,P0,,"나눔 상품 표시, 기부 수량 계산, 기부처 선택, 기부 인증서 발급"
상품,카테고리,제철과일,/products/seasonal,제철과일,Seasonal Fruits,계절별 제철 과일,계획,P0,,"계절별 상품 필터링, 수확 시기 표시, 예약 구매, 재고 알림"
상품,카테고리,정기배송,/products/subscription,정기배송,Subscription,정기 구독 서비스,계획,P1,,"페이지 콘텐츠 표시, 네비게이션"
상품,큐레이션,,/products/best,베스트,Best Sellers,인기 상품 모음,계획,P0,,"베스트셀러 순위, 카테고리별 베스트, 실시간 업데이트, 판매량 표시"
상품,큐레이션,,/products/new,신상품,New Arrivals,신규 입고 상품,계획,P1,,"신상품 목록, 출시일 표시, 사전예약, 알림 설정"
상품,큐레이션,,/products/timesale,타임세일,Time Sale,한정 시간 특가,계획,P1,,"페이지 콘텐츠 표시, 네비게이션"
상품,큐레이션,,/products/moms-pick,엄마추천,Mom's Pick,엄마들이 선택한 상품,계획,P1,,"페이지 콘텐츠 표시, 네비게이션"
상품,상세,,/products/detail/{id},상품상세,Product Detail,개별 상품 상세 정보,계획,P0,,"상품 상세정보 표시, 이미지 갤러리, 옵션 선택, 수량 선택, 장바구니 담기, 바로구매, 찜하기, 리뷰 조회/작성, Brix 당도 표시, 원산지 정보, 배송 정보, 상품 문의, 연관 상품 추천"
